ID_Cliente,Cancelou,Genero,Idoso,Tem_Conjuge,Tem_Dependentes,Meses_Permanencia,Servico_Telefone,Multiplas_Linhas,Tipo_Internet,Seguranca_Online,Backup_Online,Protecao_Dispositivo,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Tipo_Contrato,Fatura_Digital,Metodo_Pagamento,Cobranca_Mensal,Cobranca_Total
0080-EMYVY,Não,Feminino,0,Não,Não,14,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Anual,Não,Cartão de crédito,51.45,72785.0
0080-OROZO,Não,Feminino,0,Não,Não,35,Sim,Não,Fibra optica,Não,Não,Sim,Sim,Sim,Sim,Anual,Sim,Cheque eletrônico,99.25,3532.0
0082-LDZUE,Não,Masculino,0,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque enviado,44.3,443.0
0082-OQIQY,Não,Masculino,0,Não,Não,29,Sim,Não,Fibra optica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,94.2,26076.0
0083-PIVIK,Não,Masculino,0,Não,Não,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Anual,Não,Cheque eletrônico,81.25,556755.0
0089-IIQKO,Não,Feminino,0,Sim,Sim,39,Sim,Sim,Fibra optica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de crédito,99.95,37674.0
0093-EXYQL,Não,Feminino,1,Não,Não,40,Sim,Não,Fibra optica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,91.55,36736.0
0093-XWZFY,Sim,Masculino,0,Não,Não,40,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de crédito,104.5,403685.0
0094-OIFMO,Sim,Feminino,1,Não,Não,11,Sim,Não,Fibra optica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,95.0,11203.0
0096-BXERS,Não,Feminino,0,Sim,Não,6,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,50.35,31455.0
0096-FCPUF,Não,Masculino,0,Não,Não,30,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque enviado,64.5,188845.0
0098-BOWSO,Não,Masculino,0,Não,Não,27,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Sim,Cheque eletrônico,19.4,5298.0
0100-DUVFC,Não,Masculino,1,Sim,Não,70,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Sim,Sim,Anual,Sim,Cheque eletrônico,104.8,730895.0
0103-CSITQ,Não,Feminino,0,Sim,Não,57,Sim,Sim,Fibra optica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transf. bancária,109.4,62527.0
0104-PPXDV,Não,Masculino,0,Sim,Não,58,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,Anual,Não,Cartão de crédito,50.3,287855.0
0106-GHRQR,Não,Masculino,0,Não,Não,16,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Transf. bancária,71.4,12121.0
0106-UGRDO,Não,Feminino,0,Sim,Não,69,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Cheque eletrônico,116.0,818285.0
0107-WESLM,Sim,Masculino,0,Não,Não,1,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Sim,Cheque eletrônico,19.85,1985.0
0107-YHINA,Sim,Masculino,0,Não,Sim,1,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,99.75,9975.0
0111-KLBQG,Não,Masculino,1,Sim,Sim,32,Sim,Não,Fibra optica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque enviado,93.95,286145.0
0112-QAWRZ,Não,Masculino,0,Sim,Sim,16,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Transf. bancária,90.8,14422.0
0112-QWPNC,Sim,Masculino,0,Sim,Não,49,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Cheque eletrônico,84.35,405935.0
0114-IGABW,Não,Feminino,0,Sim,Não,71,Não,Sem telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Transf. bancária,58.25,41459.0
0114-PEGZZ,Não,Feminino,0,Não,Não,33,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Não,Cheque eletrônico,107.55,36455.0
0114-RSRRW,Não,Feminino,0,Sim,Não,10,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Sim,Transf. bancária,19.95,18775.0
0115-TFERT,Sim,Masculino,0,Sim,Não,21,Sim,Sim,Fibra optica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,111.2,23171.0
0117-LFRMW,Sim,Masculino,0,Sim,Sim,37,Não,Sem telefone,DSL,Sim,Sim,Sim,Não,Não,Não,Mensal,Não,Transf. bancária,40.2,14488.0
0118-JPNOY,Não,Feminino,1,Não,Não,26,Sim,Não,Fibra optica,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Cartão de crédito,85.8,219365.0
0121-SNYRK,Não,Masculino,0,Não,Não,50,Não,Sem telefone,DSL,Sim,Não,Não,Sim,Não,Não,Anual,Sim,Cheque enviado,35.4,17489.0
0122-OAHPZ,Sim,Feminino,0,Não,Não,7,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,73.85,51125.0
0123-CRBRT,Não,Feminino,0,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Cheque enviado,88.1,552675.0
0125-LZQXK,Sim,Masculino,0,Não,Não,15,Sim,Não,Fibra optica,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,101.35,155395.0
0128-MKWSG,Não,Feminino,0,Não,Sim,26,Não,Sem telefone,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,Não,Cheque enviado,45.8,1147.0
0129-KPTWJ,Não,Masculino,0,Sim,Não,72,Sim,Não,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,94.65,674735.0
0129-QMPDR,Não,Masculino,0,Sim,Sim,44,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Sim,Transf. bancária,20.5,86505.0
0130-SXOUN,Não,Masculino,0,Não,Não,66,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Não,Sim,Mensal,Não,Cartão de crédito,89.4,59769.0
0133-BMFZO,Sim,Feminino,0,Não,Não,2,Sim,Não,Fibra optica,Sim,Sim,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,86.25,18165.0
0134-XWXCE,Não,Feminino,1,Não,Não,44,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Anual,Não,Transf. bancária,74.85,326805.0
0135-NMXAP,Sim,Feminino,0,Não,Não,12,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Transf. bancária,89.75,10524.0
0136-IFMYD,Não,Masculino,1,Sim,Não,69,Sim,Sim,Fibra optica,Não,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Cheque eletrônico,109.95,763425.0
0137-OCGAB,Sim,Feminino,0,Não,Não,1,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque enviado,80.2,802.0
0137-UDEUO,Sim,Feminino,0,Não,Não,3,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Cheque enviado,19.85,6375.0
0139-IVFJG,Não,Feminino,0,Sim,Não,2,Sim,Não,Fibra optica,Sim,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque eletrônico,90.35,1905.0
0141-YEAYS,Não,Feminino,1,Não,Não,27,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Transf. bancária,86.45,240105.0
0142-GVYSN,Não,Masculino,0,Não,Não,26,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Sim,Cheque eletrônico,20.3,51125.0
0147-ESWWR,Não,Feminino,1,Sim,Não,39,Sim,Sim,Fibra optica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,101.25,394915.0
0148-DCDOS,Sim,Masculino,0,Não,Não,25,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Transf. bancária,94.7,23621.0
0151-ONTOV,Sim,Feminino,0,Não,Não,1,Sim,Não,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque enviado,70.9,709.0
0156-FVPTA,Sim,Masculino,0,Sim,Não,22,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,54.2,11527.0
0164-APGRB,Não,Feminino,0,Não,Não,72,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Cheque eletrônico,114.9,84967.0
0164-XAIRP,Não,Feminino,0,Não,Não,24,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Sim,Transf. bancária,19.55,4702.0
0168-XZKBB,Não,Feminino,0,Sim,Não,19,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,86.85,15644.0
0174-QRVVY,Não,Masculino,0,Sim,Sim,71,Sim,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Cartão de crédito,25.35,184755.0
0177-PXBAT,Não,Masculino,1,Sim,Não,33,Sim,Sim,Fibra optica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Transf. bancária,109.9,36947.0
0178-CIIKR,Não,Feminino,0,Não,Não,3,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Cheque enviado,19.95,58.0
0178-SZBHO,Não,Masculino,0,Sim,Sim,47,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque eletrônico,87.2,401745.0
0181-RITDD,Não,Masculino,0,Sim,Sim,62,Sim,Não,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Cheque enviado,108.15,682565.0
0186-CAERR,Não,Masculino,0,Não,Não,71,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transf. bancária,116.3,830955.0
0187-QSXOE,Não,Masculino,1,Sim,Não,7,Sim,Não,Fibra optica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,89.0,60545.0
0187-WZNAB,Não,Feminino,0,Sim,Sim,27,Sim,Não,Fibra optica,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque enviado,74.4,197235.0
0188-GWFLE,Não,Masculino,0,Não,Não,2,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Cheque enviado,20.05,337.0
0191-EQUUH,Não,Feminino,0,Não,Sim,25,Não,Sem telefone,DSL,Sim,Não,Não,Sim,Não,Não,Bianual,Não,Transf. bancária,35.05,84445.0
0191-ZHSKZ,Não,Masculino,1,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,74.75,21113.0
0193-ESZXP,Sim,Feminino,1,Sim,Não,58,Sim,Não,Fibra optica,Sim,Sim,Não,Sim,Sim,Sim,Anual,Sim,Cartão de crédito,105.5,62055.0
0195-IESCP,Sim,Masculino,0,Sim,Não,10,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,85.25,8553.0
0196-JTUQI,Não,Feminino,0,Não,Não,9,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cartão de crédito,75.2,63385.0
0196-VULGZ,Sim,Feminino,1,Sim,Não,6,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,84.35,4749.0
0197-PNKNK,Não,Feminino,0,Sim,Sim,69,Sim,Sim,Fibra optica,Sim,Não,Sim,Não,Não,Não,Anual,Não,Transf. bancária,84.45,58486.0
0201-MIBOL,Não,Feminino,1,Não,Não,66,Sim,Sim,Fibra optica,Sim,Não,Não,Não,Sim,Sim,Bianual,Sim,Transf. bancária,102.4,647185.0
0201-OAMXR,Sim,Feminino,0,Não,Não,70,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,Cartão de crédito,115.55,81276.0
0203-HHYIJ,Sim,Masculino,0,Não,Não,25,Sim,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Transf. bancária,25.3,67635.0
0206-OYVOC,Não,Feminino,0,Sim,Sim,46,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Sim,Cheque enviado,19.25,8642.0
0206-TBWLC,Não,Feminino,0,Sim,Não,54,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Cheque enviado,114.65,60495.0
0207-MDKNV,Sim,Feminino,0,Não,Não,15,Sim,Não,Fibra optica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Não,Cheque eletrônico,105.1,158275.0
0208-BPQEJ,Não,Feminino,0,Sim,Sim,12,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Transf. bancária,19.4,1981.0
0212-ISBBF,Não,Feminino,0,Não,Não,22,Não,Sem telefone,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,50.35,109885.0
0214-JHPFW,Não,Feminino,0,Sim,Não,70,Não,Sem telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Transf. bancária,57.8,40393.0
0215-BQKGS,Não,Masculino,0,Não,Não,30,Sim,Não,Fibra optica,Sim,Sim,Sim,Não,Não,Não,Mensal,Sim,Cartão de crédito,84.3,24386.0
0218-QNVAS,Não,Masculino,0,Sim,Sim,71,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Sim,Sim,Anual,Não,Transf. bancária,100.55,711375.0
0219-QAERP,Não,Masculino,0,Sim,Não,30,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Cartão de crédito,19.8,57665.0
0219-YTZUE,Sim,Masculino,0,Sim,Sim,4,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Transf. bancária,84.8,3719.0
0220-EBGCE,Sim,Masculino,0,Não,Não,2,Sim,Não,Fibra optica,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,85.85,1673.0
0221-NAUXK,Não,Masculino,0,Não,Sim,10,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Sim,Transf. bancária,19.95,2195.0
0221-WMXNQ,Não,Masculino,1,Não,Não,4,Sim,Não,Fibra optica,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,75.35,2734.0
0222-CNVPT,Não,Masculino,1,Não,Não,52,Não,Sem telefone,DSL,Sim,Não,Não,Não,Sim,Sim,Mensal,Sim,Cartão de crédito,48.8,255505.0
0224-HJAPT,Sim,Masculino,0,Não,Não,5,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,47.15,22315.0
0224-NIJLP,Não,Masculino,0,Sim,Sim,8,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Cheque enviado,20.15,1655.0
0224-RLWWD,Não,Feminino,1,Não,Não,2,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,44.3,893.0
0225-ZORZP,Não,Masculino,0,Não,Não,3,Sim,Não,Fibra optica,Não,Sim,Não,Não,Não,Sim,Mensal,Não,Cheque eletrônico,84.3,23505.0
0228-MAUWC,Não,Masculino,0,Não,Não,19,Sim,Sim,DSL,Não,Não,Sim,Sim,Não,Não,Mensal,Não,Cheque eletrônico,59.55,11446.0
0229-LFJAF,Não,Masculino,0,Não,Não,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Não,Não,Bianual,Não,Transf. bancária,69.65,490825.0
0230-UBYPQ,Não,Masculino,1,Sim,Não,63,Não,Sem telefone,DSL,Sim,Não,Não,Sim,Não,Não,Anual,Não,Transf. bancária,36.1,22989.0
0230-WEQUW,Não,Masculino,0,Sim,Não,66,Não,Sem telefone,DSL,Sim,Sim,Sim,Sim,Sim,Não,Bianual,Sim,Transf. bancária,56.6,37892.0
0231-LXVAP,Sim,Masculino,0,Não,Não,1,Sim,Não,Fibra optica,Não,Não,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,75.9,759.0
0233-FTHAV,Não,Feminino,0,Não,Não,60,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Não,Não,Anual,Sim,Transf. bancária,79.2,4765.0
0234-TEVTT,Não,Feminino,0,Sim,Sim,48,Não,Sem telefone,DSL,Sim,Não,Sim,Não,Não,Sim,Anual,Não,Cartão de crédito,45.0,21963.0
0235-KGSLC,Sim,Feminino,0,Não,Não,1,Sim,Não,Fibra optica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Cartão de crédito,85.55,8555.0
0236-HFWSV,Sim,Masculino,0,Não,Não,15,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,93.35,144465.0
0237-YFUTL,Não,Feminino,0,Sim,Não,50,Sim,Sim,Fibra optica,Sim,Sim,Não,Sim,Sim,Sim,Mensal,Sim,Transf. bancária,109.65,54058.0
0238-WHBIQ,Não,Masculino,0,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Cartão de crédito,89.7,63393.0
0239-OXEXL,Não,Feminino,0,Não,Não,46,Sim,Sim,Fibra optica,Sim,Sim,Não,Não,Não,Não,Mensal,Não,Cheque enviado,84.25,38476.0
0244-LGNFY,Não,Feminino,0,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Transf. bancária,92.65,6733.0
0247-SLUJI,Não,Masculino,0,Sim,Sim,1,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Cheque enviado,19.7,197.0
